TimeFrame,Fips,Location,Population,Rent,Rent_Burden,Overcrowded,Owner,Employment_Ratio,Unemployment,Median_Income,Uninsured_No,Uninsured_Pct,Education_Level,Education_No,Education_Pct,Snap_No,Snap_Pct
2007,110,Central Harlem,124883,781.84898,0.26874,0.06872,0.1222,0.538,0.1281,36929.9701,,,Bachelor's Degree or Higher,25135,0.30757,14184,0.28655
2007,111,East Harlem,121457,672.58437,0.17125,0.10436,0.07622,0.474,0.12891,36298.52685,,,Bachelor's Degree or Higher,17457,0.21816,17176,0.39766
2007,112,Washington Heights,221756,956.67236,0.28041,0.10932,0.08263,0.554,0.12185,41925.93961,,,Bachelor's Degree or Higher,43538,0.29596,25497,0.35559
2007,201,Mott Haven,95904.34664,667.72817,0.29354,0.15023,0.07851,0.43,0.13194,24627.46909,,,Bachelor's Degree or Higher,2823.184,0.08113,15921,0.55865
2007,202,Hunts Point,54762.65336,667.72817,0.29354,0.15023,0.07851,0.43,0.13194,24627.46909,,,Bachelor's Degree or Higher,1608.816,0.08113,8148,0.51652
2007,203,Morrisania,75598.01557,795.20355,0.32294,0.12896,0.06918,0.455,0.13027,24427.63031,,,Bachelor's Degree or Higher,3092.436,0.08308,12205,0.5021
2007,204,Concourse/Highbridge,139445,887.47144,0.36347,0.20276,0.05197,0.543,0.11209,29347.92123,,,Bachelor's Degree or Higher,7010,0.089,21997,0.47412
2007,205,University Heights,129263,894.75575,0.32822,0.17731,0.04721,0.525,0.16144,28516.6392,,,Bachelor's Degree or Higher,8898,0.12241,20398,0.47743
2007,206,East Tremont,78920.98443,795.20355,0.32294,0.12896,0.06918,0.455,0.13027,24427.63031,,,Bachelor's Degree or Higher,3231.564,0.08308,12974,0.51634
2007,207,Bedford Park,121634,965.17072,0.3471,0.15653,0.08915,0.571,0.09899,35784.14893,,,Bachelor's Degree or Higher,10931,0.15281,16649,0.38672
2007,208,Riverdale,113170,1056.22456,0.23096,0.10002,0.3242,0.55,0.07847,60553.51538,,,Bachelor's Degree or Higher,29968,0.38704,5601,0.12957
2007,209,Unionport/Soundview,166492,950.6021,0.26544,0.09309,0.232,0.523,0.07535,39688.69125,,,Bachelor's Degree or Higher,13102,0.1248,17021,0.28551
2007,210,Throgs Neck,123302,1002.8063,0.1746,0.02847,0.53822,0.556,0.05675,62543.62584,,,Bachelor's Degree or Higher,19862,0.22505,5372,0.10985
